序号,投资者账号,投资者,报单编号,本地报单编号,交易所,合约代码,合约名称,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间,成交时间(日),手续费,平仓盈亏,平仓盈亏(逐笔),类型,时态,策略编号,备注,MEMO,策略名称,类别,下单用户,撤单用户,IP地址,MAC,委托终端,前置ID,会话ID,营业部,营业部订单编号
19,88867197,点钢投资点睿5号,129500705,000000000194,DCE,pp2609,聚丙烯2609,    卖,平仓,8796,4,全部成交,8800.0,4,0,0,13:48:00,,13:48:00,20260430 13:48:00,4.05,-130.00,-130.00,投机,GFD,Python[P5],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
18,88867197,点钢投资点睿5号,58118677,000000000186,SHFE,hc2610,热轧卷板2610,    卖,平今,3406,4,全部成交,3411.0,4,0,0,13:32:59,,13:32:59,20260430 13:32:59,13.69,--,--,投机,GFD,Python[P3],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\HC_Long_1H_V8_Donchian_ADX_Fil,,热卷 H1 做多 — 新标准版 (自管持仓 + 全 UI + 全日志).-hc,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
17,88867197,点钢投资点睿5号,127594148,000000000178,DCE,p2609,棕榈油2609,    卖,平仓,9828,3,全部成交,9838.0,3,0,0,13:31:59,,13:31:59,20260430 13:31:59,7.55,690.00,690.00,投机,GFD,Python[P6],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
16,88867197,点钢投资点睿5号,127594123,000000000170,DCE,jm2609,焦煤2609,    卖,平仓,1277.0,2,全部成交,1279.50,2,0,0,13:31:59,,13:31:59,20260430 13:31:59,15.38,-1560.00,-1560.00,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
15,88867197,点钢投资点睿5号,125739676,000000000162,DCE,pp2609,聚丙烯2609,买,开仓,8793,4,全部成交,8793.0,4,0,0,11:15:05,,11:15:05,20260430 11:15:05,4.05,--,--,投机,GFD,Python[P5],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
14,88867197,点钢投资点睿5号,125739337,000000000146,DCE,jm2609,焦煤2609,买,开仓,1284.5,2,全部成交,1284.50,2,0,0,11:15:05,,11:15:05,20260430 11:15:05,15.44,--,--,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
13,88867197,点钢投资点睿5号,125715453,000000000130,DCE,pp2609,聚丙烯2609,买,开仓,8791,4,撤单,,0,4,0,11:15:00,11:15:05,, ,--,--,--,投机,GFD,Python[P5],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
12,88867197,点钢投资点睿5号,125715440,000000000122,DCE,p2609,棕榈油2609,买,开仓,9840,3,全部成交,9840.0,3,0,0,11:15:00,,11:15:04,20260430 11:15:04,7.55,--,--,投机,GFD,Python[P6],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
11,88867197,点钢投资点睿5号,125715403,000000000114,DCE,jm2609,焦煤2609,买,开仓,1284.0,2,撤单,,0,2,0,11:15:00,11:15:05,, ,--,--,--,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
10,88867197,点钢投资点睿5号,45832288,000000000106,SHFE,hc2610,热轧卷板2610,买,开仓,3411,4,全部成交,3411.0,4,0,0,10:00:05,,10:00:05,20260430 10:00:05,13.69,--,--,投机,GFD,Python[P3],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\HC_Long_1H_V8_Donchian_ADX_Fil,,热卷 H1 做多 — 新标准版 (自管持仓 + 全 UI + 全日志).-hc,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
9,88867197,点钢投资点睿5号,45806431,000000000090,SHFE,hc2610,热轧卷板2610,买,开仓,3410,4,撤单,,0,4,0,10:00:00,10:00:05,, ,--,--,--,投机,GFD,Python[P3],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\HC_Long_1H_V8_Donchian_ADX_Fil,,热卷 H1 做多 — 新标准版 (自管持仓 + 全 UI + 全日志).-hc,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
8,88867197,点钢投资点睿5号,113401748,000000000082,DCE,pp2609,聚丙烯2609,    卖,平仓,8799,4,全部成交,8803.0,4,0,0,09:08:59,,09:08:59,20260430 09:08:59,4.05,740.00,1355.00,投机,GFD,Python[P5],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-1952120273,,
7,88867197,点钢投资点睿5号,109538787,000000000074,DCE,p2609,棕榈油2609,    卖,平仓,9775,3,全部成交,9785.0,3,0,0,22:27:59,,22:27:59,20260430 22:27:59,7.55,1800.00,2310.00,投机,GFD,Python[P6],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-11561638,,
6,88867197,点钢投资点睿5号,108371448,000000000066,DCE,jm2609,焦煤2609,    卖,平仓,1286.5,3,全部成交,1289.00,3,0,0,22:11:59,,22:11:59,20260430 22:11:59,23.25,4230.00,2340.00,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-11561638,,
5,88867197,点钢投资点睿5号,107376043,000000000058,DCE,jm2609,焦煤2609,买,开仓,1292.5,3,全部成交,1292.50,3,0,0,22:00:06,,22:00:06,20260430 22:00:06,23.31,--,--,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-11561638,,
4,88867197,点钢投资点睿5号,107367266,000000000042,DCE,pp2609,聚丙烯2609,买,开仓,8811,4,全部成交,8811.0,4,0,0,22:00:01,,22:00:03,20260430 22:00:03,4.05,--,--,投机,GFD,Python[P5],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-11561638,,
3,88867197,点钢投资点睿5号,107365011,000000000034,DCE,p2609,棕榈油2609,买,开仓,9815,3,全部成交,9815.0,3,0,0,22:00:01,,22:00:06,20260430 22:00:06,7.55,--,--,投机,GFD,Python[P6],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-11561638,,
2,88867197,点钢投资点睿5号,107363612,000000000026,DCE,jm2609,焦煤2609,买,开仓,1292.0,3,撤单,,0,3,0,22:00:00,22:00:06,, ,--,--,--,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-11561638,,
1,88867197,点钢投资点睿5号,1274954,000000000018,SHFE,hc2610,热轧卷板2610,    卖,平仓,3398,4,全部成交,3403.0,4,0,0,21:04:59,,21:04:59,20260429 21:04:59,13.66,520.00,720.00,投机,GFD,Python[P3],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\HC_Long_1H_V8_Donchian_ADX_Fil,,热卷 H1 做多 — 新标准版 (自管持仓 + 全 UI + 全日志).-hc,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,14,-11561638,,
